Edad	RangoEdad	Sexo	EstadoCivil	TipoLocalidad	Comuna	Zona	Estrato	TipoVivienda	TiempoEnMedellin	PersonasConLasQueVive	AfiliacionSalud	NivelEstudio	Estudia	ValoracionOportunidadesDeLaCiudadParaEstudiar	ValoracionInstitucionEnHabilidadesDelMundoLaboral	ImpactoProfesoresEnLaVida	Trabaja	PercepcionOfertaLaboral	GastoSemanalTransporte	GastoSemanalRumba	GastoSemanalObligacionesFamiliares	EdadALaQueTuvoPrimerHijo	EdadPrimeraRelacionSexual	ConsumoDrogas	ConsumoCigarrillo	ConsumoLicor	FrecuenciaEjercicio	FrecuenciaLectura	ParticipacionMarchas	ActividadesComunitarias	ParticipacionVoluntariados	ParticipacionGrupoJuvenil
15	14-17	Hombre	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	De tus padres/ hermanos	De 1 a 5 anos	4 personas	Subsidiado/ Sisben	Grado 9	Si	Ni favorable/ Ni desfavorable	Muy favorable	Favorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	No Aplica	No	No	No	Casi Siempre	Siempre	No	No	No	No
14	14-17	Hombre	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	De tus padres/ hermanos	Siempre	3 personas	Subsidiado/ Sisben	Grado 9	Si	Ni favorable/ Ni desfavorable	Muy favorable	Favorable	Nunca he trabajado	Ni buena/ Ni mala	0	20000	0	No Aplica	No Aplica	No	No	Si	Casi Siempre	Casi Siempre	No	No	No	No
14	14-17	Mujer	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	De tus padres/ hermanos	Siempre	10 personas	Beneficiario	Grado 6	No	Favorable	Muy favorable	Favorable	Nunca he trabajado	Buena	0	30000	0	No Aplica	No Aplica	No	Si	Si	Siempre	Casi nunca	Si	Si	Si	No
16	14-17	Mujer	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	De tus padres/ hermanos	Siempre	3 personas	Beneficiario	Grado 10	Si	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	Muy favorable	Nunca he trabajado	Nunca ha realizado	0	20000	0	No Aplica	No Aplica	No	No	Si	Siempre	A veces	No	No	Si	No
20	18-21	Mujer	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	Alquilado	Mas de 10 anos	5 personas	Beneficiario	Tecnologia Incompleta o en curso	Si	Desfavorable	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	Nunca he trabajado	Ni buena/ Ni mala	0	20000	50000	17	16	No	No	Si	Nunca	A veces	No	No	No	No
14	14-17	Mujer	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	Alquilado	Siempre	4 personas	Beneficiario	Grado 8	Si	Favorable	Muy favorable	Favorable	Nunca he trabajado	Buena	35000	6000	0	No Aplica	No Aplica	No	No	Si	Siempre	A veces	No	No	No	No
23	22-26	Mujer	No eres casado(a) y vives en pareja hace dos anos o mas	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	Alquilado	De 1 a 5 anos	5 personas	Beneficiario	Grado 6	No	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	No	Nunca ha realizado	0	0	0	20	15	No	No	Si	A veces	A veces	No	No	No	No
14	14-17	Mujer	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	Alquilado	Menos de 1 ano	5 personas	Beneficiario	Grado 7	Si	Favorable	Favorable	Favorable	Nunca he trabajado	Nunca ha realizado	9000	40000	0	No Aplica	No Aplica	No	No	No	Nunca	Nunca	No	No	No	No
15	14-17	Mujer	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	De tus padres/ hermanos	Siempre	4 personas	Beneficiario	Grado 9	Si	Favorable	Favorable	Muy favorable	Nunca he trabajado	Buena	12000	30000	0	No Aplica	No Aplica	No	No	Si	Siempre	Siempre	No	Si	No	Si
25	22-26	Hombre	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	Alquilado	De 1 a 5 anos	5 personas	Beneficiario	Universitaria Incompleta o en curso	Si	Muy favorable	Favorable	Ni favorable/ Ni desfavorable	Si	Ni buena/ Ni mala	6000	0	100000	No Aplica	14	No	No	Si	Nunca	Casi Siempre	Si	No	No	Si
25	22-26	Mujer	No eres casado(a) y vives en pareja hace dos anos o mas	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	Alquilado	Mas de 10 anos	6 personas	Subsidiado/ Sisben	Grado 3	No	Favorable	Desfavorable	Muy desfavorable	Nunca he trabajado	Muy Mala	40000	0	90000	18	14	No	No	Si	Nunca	Casi nunca	No	No	No	No
17	14-17	Mujer	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	Alquilado	Siempre	7 personas	Subsidiado/ Sisben	Grado 7	Si	Ni favorable/ Ni desfavorable	Muy favorable	Muy favorable	No	Muy Mala	15000	50000	0	16	15	No	No	No	Siempre	Casi nunca	No	No	No	No
17	14-17	Mujer	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	De tus padres/ hermanos	Siempre	3 personas	Beneficiario	Grado 11	No	Favorable	Favorable	Muy desfavorable	Nunca he trabajado	Mala	30000	10000	0	No Aplica	No Aplica	No	No	Si	A veces	A veces	No	No	No	No
18	18-21	Mujer	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	Alquilado	Siempre	4 personas	Beneficiario	Tecnica incompleta o en curso	No	Muy favorable	Muy favorable	Muy favorable	Nunca he trabajado	Mala	25000	0	0	No Aplica	17	No	No	Si	Casi Siempre	A veces	No	No	No	No
14	14-17	Hombre	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 2	De tus padres/ hermanos	Siempre	5 personas	Beneficiario	Grado 9	Si	Muy desfavorable	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	No	Muy Mala	0	10000	0	No Aplica	14	No	Si	Si	Casi nunca	Casi nunca	No	No	No	No
20	18-21	Mujer	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 2	De tus padres/ hermanos	Siempre	10 personas	Beneficiario	Grado 5	No	Muy favorable	Muy favorable	Muy favorable	No	Buena	30000	20000	0	No Aplica	19	No	Si	Si	Siempre	Nunca	No	Si	Si	Si
20	18-21	Mujer	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	Prestado por un familiar o amigo	Siempre	4 personas	Cotizante	Universitaria Incompleta o en curso	Si	Ni favorable/ Ni desfavorable	Muy favorable	Ni favorable/ Ni desfavorable	Si	Muy Mala	20000	0	23000	No Aplica	15	No	No	Si	Nunca	A veces	No	No	No	Si
14	14-17	Hombre	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	Prestado por un familiar o amigo	Siempre	9 personas	Beneficiario	Grado 6	No	Favorable	Favorable	Muy favorable	No	Buena	0	0	0	No Aplica	11	No	No	Si	Casi Siempre	Casi Siempre	No	No	No	No
21	18-21	Hombre	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 2	De tu propiedad	Siempre	8 personas	Cotizante	Tecnologia Completa	No	Muy favorable	Muy favorable	Muy favorable	Si	Ni buena/ Ni mala	40000	0	0	No Aplica	13	No	No	No	Siempre	Siempre	No	No	No	No
18	18-21	Mujer	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	Alquilado	Menos de 1 ano	4 personas	Beneficiario	Grado 9	Si	Ni favorable/ Ni desfavorable	Favorable	Ni favorable/ Ni desfavorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	No Aplica	No	No	Si	A veces	Casi nunca	No	No	No	No
18	18-21	Hombre	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	De tus padres/ hermanos	Siempre	6 personas	Beneficiario	Grado 9	Si	Favorable	Favorable	Favorable	No	Nunca ha realizado	0	0	50000	No Aplica	16	No	No	Si	Nunca	Nunca	No	No	No	No
18	18-21	Hombre	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	Alquilado	De 1 a 5 anos	5 personas	Subsidiado/ Sisben	Grado 11	Si	Favorable	Favorable	Favorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	13	No	No	Si	A veces	A veces	No	No	No	No
21	18-21	Mujer	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	De tus padres/ hermanos	Siempre	5 personas	Beneficiario	Grado 6	No	Favorable	Muy favorable	Favorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	20000	15	14	No	No	No	Casi nunca	Nunca	No	No	No	No
20	18-21	Mujer	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 2	Prestado por un familiar o amigo	Siempre	7 personas	Subsidiado/ Sisben	Tecnica Completa	No	Favorable	Ni favorable/ Ni desfavorable	Favorable	Nunca he trabajado	Mala	0	30000	0	No Aplica	18	No	No	Si	Casi nunca	Nunca	No	No	No	No
19	18-21	Mujer	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 2	Alquilado	Menos de 1 ano	4 personas	Subsidiado/ Sisben	Grado 11	No	Ni favorable/ Ni desfavorable	Favorable	Favorable	Si	Muy Mala	0	0	50000	No Aplica	15	No	No	No	A veces	Casi Siempre	No	No	No	No
16	14-17	Hombre	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	Alquilado	Siempre	8 personas	Beneficiario	Grado 8	No	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	No	Mala	0	100000	30000	No Aplica	14	Si	Si	Si	Nunca	Nunca	No	No	No	No
18	18-21	Mujer	No eres casado(a) y vives en pareja hace menos de dos anos	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	De tus padres/ hermanos	Siempre	7 personas	Subsidiado/ Sisben	Grado 10	No	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	Nunca he trabajado	Nunca ha realizado	0	100000	0	No Aplica	16	No	Si	Si	Nunca	Nunca	No	No	No	No
18	18-21	Mujer	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	De tus padres/ hermanos	Siempre	5 personas	Subsidiado/ Sisben	Grado 10	Si	Favorable	Favorable	Favorable	Nunca he trabajado	Nunca ha realizado	0	0	0	No Aplica	15	No	No	Si	A veces	A veces	No	No	No	No
17	14-17	Mujer	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	De tu propiedad	De 1 a 5 anos	6 personas	Beneficiario	Grado 11	No	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	Favorable	Nunca he trabajado	Buena	0	0	0	No Aplica	17	No	No	Si	A veces	Casi nunca	No	No	No	No
19	18-21	Mujer	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	Alquilado	Siempre	10 personas	Subsidiado/ Sisben	Grado 5	No	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	Nunca he trabajado	Buena	0	50000	0	No Aplica	13	Si	Si	Si	Casi nunca	Casi nunca	No	No	No	No
26	22-26	Hombre	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 3	De tu propiedad	Siempre	3 personas	Cotizante	Grado 10	No	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	Si	Buena	15000	0	40000	No Aplica	18	No	No	Si	A veces	A veces	No	No	No	No
25	22-26	Mujer	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 2	De tu propiedad	Siempre	4 personas	Cotizante	Tecnica Completa	No	Muy favorable	Favorable	Favorable	No	Ni buena/ Ni mala	0	0	0	No Aplica	16	No	No	Si	Nunca	Nunca	No	No	No	No
15	14-17	Hombre	Soltero(a)	COMUNA	Castilla	NOROCCIDENTAL	Estrato 2	Alquilado	Siempre	4 personas	Beneficiario	Grado 10	Si	Muy favorable	Muy favorable	Muy favorable	Nunca he trabajado	Muy buena	0	0	0	No Aplica	14	No	No	No	Casi nunca	Casi nunca	No	No	No	No
18	18-21	Mujer	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 2	Prestado por un familiar o amigo	Siempre	3 personas	Subsidiado/ Sisben	Grado 10	No	Favorable	Favorable	Favorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	17	Si	No	Si	Nunca	Casi nunca	No	No	No	No
17	14-17	Hombre	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 1	De tus padres/ hermanos	Mas de 10 anos	5 personas	Subsidiado/ Sisben	Grado 10	Si	Muy favorable	Desfavorable	Favorable	Nunca he trabajado	Buena	0	0	0	No Aplica	No Aplica	No	No	No	Siempre	Casi nunca	No	No	No	No
18	18-21	Mujer	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 2	Prestado por un familiar o amigo	Siempre	Mas de 10 personas	Beneficiario	Grado 10	No	Favorable	Favorable	Favorable	Nunca he trabajado	Buena	0	0	0	17	15	No	No	Si	A veces	A veces	No	No	No	No
17	14-17	Hombre	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 1	Alquilado	Siempre	3 personas	Beneficiario	Grado 10	Si	Favorable	Favorable	Muy desfavorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	15	Si	No	No	Casi Siempre	Nunca	Si	No	No	No
16	14-17	Hombre	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 1	De tus padres/ hermanos	Siempre	3 personas	Subsidiado/ Sisben	Grado 10	Si	Favorable	Favorable	Ni favorable/ Ni desfavorable	Si	Ni buena/ Ni mala	0	0	0	No Aplica	14	No	No	Si	Siempre	A veces	No	No	No	No
16	14-17	Hombre	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 1	De tus padres/ hermanos	Menos de 1 ano	5 personas	Subsidiado/ Sisben	Grado 10	Si	Favorable	Favorable	Muy desfavorable	Nunca he trabajado	Mala	0	0	0	No Aplica	13	No	No	Si	Nunca	Nunca	No	No	No	No
14	14-17	Hombre	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 2	De tus padres/ hermanos	Siempre	4 personas	Beneficiario	Grado 9	Si	Favorable	Muy favorable	Favorable	Nunca he trabajado	Buena	0	0	0	No Aplica	No Aplica	No	No	No	Casi Siempre	Nunca	Si	Si	No	No
23	22-26	Mujer	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 2	Prestado por un familiar o amigo	Siempre	9 personas	Subsidiado/ Sisben	Grado 9	No	Favorable	Favorable	Favorable	Si	Buena	0	0	0	19	19	No	No	No	Nunca	A veces	No	Si	No	No
17	14-17	Hombre	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 2	Alquilado	Siempre	3 personas	Beneficiario	Grado 10	Si	Ni favorable/ Ni desfavorable	Favorable	Desfavorable	Nunca he trabajado	Buena	0	0	0	No Aplica	15	No	No	Si	Casi Siempre	Casi Siempre	No	No	No	No
24	22-26	Hombre	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 2	Alquilado	De 1 a 5 anos	Vive solo	Subsidiado/ Sisben	Tecnica Completa	Si	Ni favorable/ Ni desfavorable	Favorable	Ni favorable/ Ni desfavorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	No Aplica	No	No	No	A veces	Casi Siempre	No	Si	No	No
23	22-26	Mujer	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 2	Alquilado	Siempre	Vive solo	Cotizante	Tecnica incompleta o en curso	Si	Muy favorable	Muy favorable	Favorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	16	No	No	No	Casi Siempre	Casi Siempre	No	No	No	No
16	14-17	Hombre	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 2	De tus padres/ hermanos	Siempre	4 personas	Beneficiario	Grado 10	Si	Favorable	Favorable	Muy favorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	No Aplica	No	No	No	Siempre	A veces	No	No	No	No
25	22-26	Mujer	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 2	De tus padres/ hermanos	Mas de 10 anos	6 personas	Subsidiado/ Sisben	Grado 6	No	Favorable	Favorable	Favorable	No	Mala	0	0	0	17	17	No	No	No	Nunca	A veces	No	No	No	No
19	18-21	Hombre	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 1	De tus padres/ hermanos	Siempre	4 personas	Beneficiario	Grado 10	Si	Favorable	Favorable	Favorable	Nunca he trabajado	Buena	0	100000	80000	No Aplica	14	Si	Si	Si	Casi Siempre	Casi Siempre	Si	Si	No	No
23	22-26	Mujer	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 2	Alquilado	Siempre	6 personas	Subsidiado/ Sisben	Grado 4	No	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	Nunca he trabajado	Buena	0	0	0	19	15	No	Si	Si	Nunca	Nunca	No	No	No	No
21	18-21	Hombre	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 1	De tus padres/ hermanos	Siempre	2 personas	Cotizante	Grado 11	No	Favorable	Favorable	Favorable	Si	Mala	0	0	0	No Aplica	16	No	Si	No	Nunca	Nunca	No	No	No	No
18	18-21	Hombre	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 2	Alquilado	Siempre	6 personas	Beneficiario	Grado 11	No	Favorable	Favorable	Favorable	Nunca he trabajado	Buena	0	0	0	No Aplica	17	No	No	No	Siempre	Nunca	No	No	No	No
20	18-21	Mujer	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 1	De tus padres/ hermanos	Siempre	5 personas	Subsidiado/ Sisben	Grado 11	No	Favorable	Favorable	Favorable	No	Muy Mala	0	0	0	15	14	No	No	Si	Nunca	Casi nunca	No	No	No	No
26	22-26	Mujer	Casado(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 1	Alquilado	Siempre	3 personas	Subsidiado/ Sisben	Grado 5	No	Favorable	Favorable	Favorable	Nunca he trabajado	Buena	0	0	0	20	20	No	No	No	Nunca	Casi Siempre	No	No	No	No
25	22-26	Hombre	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 1	Alquilado	De 1 a 5 anos	3 personas	Subsidiado/ Sisben	Grado 11	No	Desfavorable	Favorable	Favorable	Si	Mala	0	0	0	23	16	No	No	No	Siempre	Casi Siempre	No	Si	Si	No
17	14-17	Mujer	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 1	De tus padres/ hermanos	Siempre	4 personas	Beneficiario	Grado 7	Si	Favorable	Favorable	Desfavorable	Nunca he trabajado	Nunca ha realizado	0	0	0	14	13	No	No	Si	Nunca	A veces	No	No	No	No
25	22-26	Mujer	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 1	Ocupado (No es propio, ni paga arriendo, ni es prestado)	Mas de 10 anos	8 personas	Beneficiario	Grado 2	No	Desfavorable	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	Nunca he trabajado	Buena	0	0	0	24	17	No	No	No	Nunca	Casi nunca	No	No	No	No
20	18-21	Mujer	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 2	De tus padres/ hermanos	Siempre	5 personas	Cotizante	Tecnica incompleta o en curso	Si	Favorable	Favorable	Favorable	Nunca he trabajado	Mala	0	0	0	No Aplica	17	No	No	Si	Casi Siempre	Casi Siempre	Si	Si	No	No
18	18-21	Hombre	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 1	De tus padres/ hermanos	Mas de 10 anos	4 personas	Beneficiario	Grado 10	No	Favorable	Favorable	Favorable	Nunca he trabajado	Buena	0	0	0	17	17	No	No	No	Siempre	Casi Siempre	No	No	No	No
14	14-17	Mujer	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 1	De tus padres/ hermanos	Siempre	4 personas	Subsidiado/ Sisben	Grado 7	Si	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	Nunca he trabajado	Buena	0	0	0	No Aplica	No Aplica	No	No	No	Nunca	Nunca	No	No	Si	No
14	14-17	Hombre	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 1	De tus padres/ hermanos	Siempre	7 personas	Beneficiario	Grado 8	Si	Muy favorable	Favorable	Muy favorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	13	No	No	Si	Siempre	A veces	No	No	No	No
17	14-17	Mujer	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 2	Alquilado	Siempre	4 personas	Beneficiario	Grado 11	Si	Favorable	Favorable	Ni favorable/ Ni desfavorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	16	No	No	No	A veces	Siempre	No	No	No	No
17	14-17	Hombre	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 2	De tus padres/ hermanos	Siempre	6 personas	Beneficiario	Universitaria Incompleta o en curso	Si	Ni favorable/ Ni desfavorable	Muy favorable	Muy favorable	Nunca he trabajado	Muy Mala	0	0	0	No Aplica	No Aplica	No	No	No	Siempre	Siempre	Si	Si	No	No
16	14-17	Mujer	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 1	De tus padres/ hermanos	De 1 a 5 anos	6 personas	Beneficiario	Grado 8	Si	Favorable	Favorable	Favorable	Nunca he trabajado	Mala	0	0	0	No Aplica	No Aplica	No	No	Si	Nunca	Nunca	No	No	No	No
16	14-17	Hombre	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 2	Alquilado	Siempre	5 personas	Beneficiario	Grado 11	Si	Favorable	Favorable	Favorable	Nunca he trabajado	Buena	0	0	0	No Aplica	13	No	No	Si	Nunca	Nunca	Si	Si	Si	No
16	14-17	Hombre	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 2	Alquilado	De 5 a 10 anos	4 personas	Subsidiado/ Sisben	Grado 10	Si	Favorable	Favorable	Desfavorable	Nunca he trabajado	Muy Mala	0	0	0	No Aplica	15	Si	No	Si	Casi Siempre	Casi nunca	No	No	No	No
14	14-17	Mujer	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 1	Alquilado	Siempre	6 personas	Beneficiario	Grado 8	Si	Favorable	Favorable	Favorable	Nunca he trabajado	Buena	0	0	0	No Aplica	No Aplica	No	No	No	Siempre	Casi Siempre	No	No	No	No
22	22-26	Mujer	No eres casado(a) y vives en pareja hace dos anos o mas	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 1	De tus padres/ hermanos	Siempre	3 personas	Subsidiado/ Sisben	Grado 9	No	Desfavorable	Favorable	Favorable	Nunca he trabajado	Mala	0	0	0	19	17	No	No	No	A veces	A veces	No	No	No	No
16	14-17	Mujer	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 2	De tus padres/ hermanos	Siempre	6 personas	Subsidiado/ Sisben	Grado 9	Si	Muy favorable	Favorable	Muy favorable	Nunca he trabajado	Muy buena	0	0	0	No Aplica	No Aplica	No	No	No	Casi Siempre	Casi Siempre	No	Si	No	Si
15	14-17	Mujer	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 2	Alquilado	Siempre	5 personas	Beneficiario	Grado 8	Si	Favorable	Favorable	Favorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	No Aplica	No	Si	Si	Siempre	Casi Siempre	No	No	No	Si
16	14-17	Mujer	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 2	Alquilado	Siempre	6 personas	Beneficiario	Grado 9	No	Favorable	Favorable	Desfavorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	16	15	No	No	Si	Casi Siempre	Nunca	No	No	No	Si
19	18-21	Hombre	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 2	De tus padres/ hermanos	Siempre	4 personas	Beneficiario	Grado 11	No	Muy favorable	Muy favorable	Muy favorable	Si	Buena	0	0	0	No Aplica	19	No	Si	Si	Nunca	Nunca	No	No	No	No
20	18-21	Mujer	No eres casado(a) y vives en pareja hace menos de dos anos	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 2	Alquilado	Siempre	2 personas	Subsidiado/ Sisben	Grado 11	No	Ni favorable/ Ni desfavorable	Muy favorable	Muy favorable	No	Buena	0	0	0	No Aplica	19	No	No	No	A veces	A veces	No	No	No	No
15	14-17	Hombre	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 2	Alquilado	Siempre	6 personas	Subsidiado/ Sisben	Grado 8	No	Favorable	Muy favorable	Favorable	Si	Ni buena/ Ni mala	0	0	0	No Aplica	12	Si	No	Si	A veces	Nunca	No	No	No	Si
15	14-17	Hombre	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 2	Alquilado	Siempre	5 personas	Beneficiario	Grado 8	Si	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	Desfavorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	14	No	No	Si	Nunca	Nunca	No	No	No	No
14	14-17	Mujer	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 2	De tus padres/ hermanos	Siempre	5 personas	Subsidiado/ Sisben	Grado 8	Si	Favorable	Favorable	Muy favorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	No Aplica	No	No	Si	Nunca	A veces	No	No	No	No
14	14-17	Hombre	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 1	De tus padres/ hermanos	Siempre	6 personas	Subsidiado/ Sisben	Grado 9	Si	Desfavorable	Favorable	Ni favorable/ Ni desfavorable	Nunca he trabajado	Mala	0	0	0	No Aplica	No Aplica	No	No	No	A veces	Nunca	No	No	No	No
26	22-26	Hombre	No eres casado(a) y vives en pareja hace dos anos o mas	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 1	Alquilado	De 1 a 5 anos	2 personas	Beneficiario	Grado 5	No	Favorable	Muy favorable	Favorable	Si	Ni buena/ Ni mala	0	0	0	No Aplica	13	No	Si	Si	Casi Siempre	Siempre	No	No	No	No
26	22-26	Mujer	Casado(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 2	Prestado por un familiar o amigo	Siempre	2 personas	Subsidiado/ Sisben	Tecnologia Incompleta o en curso	Si	Ni favorable/ Ni desfavorable	Muy favorable	Muy desfavorable	Si	Ni buena/ Ni mala	0	0	0	No Aplica	17	No	No	No	Casi Siempre	Casi Siempre	No	No	No	No
15	14-17	Hombre	Soltero(a)	COMUNA	Doce de Octubre	NOROCCIDENTAL	Estrato 1	Alquilado	Siempre	6 personas	Subsidiado/ Sisben	Grado 7	Si	Muy favorable	Ni favorable/ Ni desfavorable	Desfavorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	No Aplica	No	No	Si	Nunca	A veces	No	No	No	Si
